Demagnetized Datadisk	        +	Unpowered Memory Encryptor	    =	Droid Experimentation Modifier Bit
Hyperdrive Unit	                +	Rapid Program Modul	            =	Endurance Boost Modifier Bit
Power Converter	                +	Power Supply	                =	Ranged General Modifier Bit
Explosive Dud	                +	Deprecated Droid Software	    =	Cybernetic Experimentation Modifier Bit
Chassis Blueprint	            +	Ambush Detector	                =	Endurance Boost Modifier Bit
Explosive Dud	                +	Rapid Program Modul	            =	Toughness Boost Modifier Bit
Motor	                        +	Impulse Detector	            =	Ranged General Modifier Bit
Wire Element	                +	Power Converter	                =	Toughness Boost Modifier Bit
Mark II Circuit Board	        +	Motor	                        =	Ranged General Modifier Bit
Self Service Circuit	        +	Software Modul	                =	Toughness Boost Modifier Bit
Differential Regulator	        +	Week Copper Battery	            =	Defense General Modifire Bit
Medical Device	                +	Barrel	                        =	Heavy Weapon Action Cost Modifier Bit
Differential Regulator	        +	Impulse Detector	            =	Ranged General Modifier Bit
Unidentified Chemicals	        +	Mark II Circuit Board	        =	Cybernetic Experimentation Modifier Bit
Unidentified Chemicals	        +	Ambush Detector	                =	Ranged General Modifier Bit
Power Converter	                +	Motor	                        =	Cybernetic Experimentation Modifier Bit
Software Modul	                +	Differential Regulator	        =	Weapon Systems Modifier Bit
Power Converter	                +	Ambush Detector	                =	Ranged General Modifier Bit
Mark II Vocabulation Module	    +	Barrel	                        =	Heavy Weapon Critical Chance Modifier Bit
Vocabular	                    +	Aeromagnifier	                =	Ranged General Modifier Bit
Burnt Out Droid Motor	        +	Worn Servo Joint	            =	Ranged General Modifier Bit
Burnt Out Droid Motor	        +	Self Analysis Circuit	        =	Ranged General Modifier Bit
Data Housing	                +	Worn Servo Joint	            =	Ranged General Modifier Bit
