Demagnetized Datadisk	        +	Unpowered Memory Encryptor	    =	Droid Experimentation Modifier Bit
Hyperdrive Unit	                +	Rapid Program Modul	            =	Endurance Boost Modifier Bit
Power Converter	                +	Power Supply	                =	Ranged General Modifier Bit
Explosive Dud	                +	Deprecated Droid Software	    =	Cybernetic Experimentation Modifier Bit
Chassis Blueprint	            +	Ambush Detector	                =	Endurance Boost Modifier Bit
Explosive Dud	                +	Rapid Program Modul	            =	Toughness Boost Modifier Bit
Motor	                        +	Impulse Detector	            =	Ranged General Modifier Bit
Wire Element	                +	Power Converter	                =	Toughness Boost Modifier Bit
Mark II Circuit Board	        +	Motor	                        =	Ranged General Modifier Bit
Self Service Circuit	        +	Software Modul	                =	Toughness Boost Modifier Bit
Differential Regulator	        +	Week Copper Battery	            =	Defense General Modifire Bit
Medical Device	                +	Barrel	                        =	Heavy Weapon Action Cost Modifier Bit
Differential Regulator	        +	Impulse Detector	            =	Ranged General Modifier Bit
Unidentified Chemicals	        +	Mark II Circuit Board	        =	Cybernetic Experimentation Modifier Bit
Unidentified Chemicals	        +	Ambush Detector	                =	Ranged General Modifier Bit
Power Converter	                +	Motor	                        =	Cybernetic Experimentation Modifier Bit	1x
Software Modul	                +	Differential Regulator	        =	Weapon Systems Modifier Bit	1x
Power Converter	                +	Ambush Detector	                =	Ranged General Modifier Bit	1x
Mark II Vocabulation Module	    +	Barrel	                        =	Heavy Weapon Critical Chance Modifier Bit	1x
Vocabular	                    +	Aeromagnifier (L)	            =	Ranged General Modifier Bit	1x
Burnt Out Droid Motor	        +	Worn Servo Joint	            =	Ranged General Modifier Bit	1x
Burnt Out Droid Motor	        +	Self Analysis Circuit	        =	Ranged General Modifier Bit	1x
Data Hausing	                +	Worn Servo Joint	            =	Ranged General Modifier Bit	1x
Burnt Out Droid Motor	        +	Weapon Scope	                =	Rifle Accuracy Modifier Bit	1x
Burnt Out Droid Motor	        +	Aeromagnifier (L)	            =	Ranged General Modifier Bit	1x
Burnt Out Droid Motor	        +	Unpowered Memory Encryptor	    =	Ranged General Modifier Bit	1x
Weapon Scope	                +	Aeromagnifier (L)	            =	Defense General Modifire Bit	1x
Ledger	                        +	Outdated Aeromagnifier	        =	Toughness Boost Modifier Bit	1x
Aeromagnifier (L)	            +	Barrel	                        =	Ranged General Modifier Bit	1x
Weapon Scope	                +	Explosive Dud	                =	Defense General Modifier Bit	1x
Barrel	                        +	Burnt Out Droid Motor	        =	Carbine Critical Chance Modifier Bit	1x
Chassis Blueprint	            +	Shield Module	                =	Dancing Enhancement Modifier Bit	1x

